Job_Code,Count,Percentage,Job_Title
US-100015099,396,31.8%,(USA) Market Manager - US
US-100017446,27,2.2%,"Senior Director, Merchandising"
US-100019721,27,2.2%,"Senior Director, Merchandising Operations"
US-100020695,23,1.8%,"(USA) Senior Director, Operations"
US-100019946,20,1.6%,"Senior Director, Supply Chain Management"
US-100022540,19,1.5%,"Senior Director, Product Management"
US-100022319,18,1.4%,"(USA) Senior Director, Data Science"
US-100022602,16,1.3%,"Senior Director, Advanced Analytics"
US-100024103,16,1.3%,"Senior Director, Technology Operations"
US-100019221,15,1.2%,"Senior Director, Real Estate"
US-100019949,14,1.1%,"Group Director, Supply Chain Management"
