job_code,user_count
30-49-857,2748
30-49-852,7187
1-610-7410,12174
10-38-849,32226
1-996-7400,20181
1-0-40413,4773
1-202-2104,298
1-600-7300,1328
30-49-3153,707
1-0-40344,1497
27-98-101,18
1-990-502,1865
1-635-8440,742
1-23-201,384
1-7-201,175
1-192-201,78
30-49-859,3
1-930-1461,91
1-0-40422,1
30-49-882,31
1-0-40339,17
1-990-505,33
1-0-40386,40
5-0-814749,1
1-0-40546,1
1-936-1451,515854
1-625-7400,94852
1-996-754,18959
6-37-815,17724
27-98-983,10691
1-998-151,72581
1-635-7441,22372
6-37-814,8197
1-615-7310,6493
1-620-7200,7075
1-600-7200,8071
1-990-510,269
1-630-7300,602
71-0-40432,1141
44-0-902993,399
1-2-101,107
1-930-481,818
30-49-3157,435
5-0-814330,22
1-993-1075,1364
1-993-1097,825
1-0-40423,59
24-80-201,369
10-38-4212,58
1-910-652,18
1-993-2101,8
10-38-4208,21
1-695-7520,16
30-0-902938,7
6-10-201,19794
1-640-7411,33991
1-996-782,56521
1-930-745,2145
10-38-843,8273
1-640-7410,49715
1-635-7240,20929
30-49-892,3591
1-0-40405,8211
1-9-201,56
1-14-201,285
1-996-758,94
10-40-841,178
1-994-469,42
1-16-101,83
1-630-7310,14
1-27-238,12
10-38-826,2
1-0-40345,1
10-38-4201,2
1-190-101,1
1-0-40410,1
1-600-7220,12246
1-990-7410,383495
1-695-7540,139150
1-990-7210,25113
1-625-7420,28698
6-0-40556,3754
1-0-40407,9866
1-640-7210,6343
1-0-40346,3012
59-65-265,6758
1-615-7410,2751
25-94-201,282
1-11-201,142
1-0-40420,2
1-192-101,72
1-966-101,25
1-0-40348,36
1-910-607,21
10-38-1849,13
1-3-2050,2
1-0-40347,1
5-0-901351,4
1-980-711,39978
1-615-7400,57898
1-615-7200,17751
1-27-237,16262
1-46-501,14301
1-966-540,231
1-16-201,243
24-93-915,213
1-2-201,170
1-0-40301,83
1-930-603,88
1-19-201,114
30-49-856,106
1-931-3410,174
1-912-617,69
1-930-1054,13
1-931-465,7
10-40-301,23
10-38-4202,1
1-584-2053,1
1-990-210,1
1-580-131,1
1-695-7550,104460
1-990-3303,83488
1-600-7420,118952
26-90-4690,239
10-940-201,8097
1-0-40267,4002
1-640-7200,7192
1-910-7250,6046
1-990-7310,3305
30-49-3152,1964
1-930-1481,9476
1-930-451,128
30-49-862,362
30-49-880,19
11-32-101,23
10-38-853,678
10-38-4209,100
10-40-847,1045
24-80-102,144
1-993-1077,278
1-910-606,56
1-930-465,139
1-910-600,37
10-40-4211,16
1-11-101,49
1-0-40338,22
30-49-874,16
10-38-201,8
1-190-301,1
1-0-040413,1
1-0-040407,1
1-0-40547,1
31-85-301,1
1-625-7200,21308
1-993-1062,5060
1-600-7400,108864
6-37-823,47499
1-655-7400,25401
1-0-40342,6506
1-980-530,60642
1-635-7230,6072
1-630-7200,19140
1-0-40404,8278
1-990-501,2242
1-931-469,3036
1-695-7530,6421
1-998-150,14573
1-936-1452,21460
30-49-853,734
1-600-7320,1311
1-203-2003,557
59-645-7210,543
1-635-8240,1268
1-993-1078,1199
1-931-3404,80
1-14-101,62
1-7-330,38
1-0-40321,13
6-0-40206,1
1-930-480,3
1-0-40225,1
10-40-201,1
1-610-7210,6811
1-640-7412,66796
1-695-7510,1233
10-38-800,3053
1-610-7310,2755
1-23-101,116
1-635-7243,1391
24-93-201,256
1-630-7410,766
1-5-201,295
1-990-517,736
1-980-520,55
1-0-814893,227
1-993-1076,1195
27-98-981,200
1-995-3470,145
1-910-653,20
71-0-40418,217
1-936-1401,51
10-38-4205,29
1-993-1008,49
1-5-101,31
11-32-201,99
5-0-902742,11
10-0-44701,4
10-38-821,53
6-10-101,8
24-80-101,20
10-40-4200,1
30-49-881,20
26-90-1010,3
1-995-710,42139
10-38-850,15989
1-600-7421,1696
1-635-7340,2464
1-0-40296,1158
1-695-7500,5726
1-0-40349,3082
1-930-450,1826
1-0-903060,17
1-0-40406,2794
44-0-903087,39
5-0-902343,6
1-0-40403,45
1-910-651,15
71-76-624,225
1-993-1150,7
24-93-101,19
1-990-531,1
1-9-101,17
1-930-3400,4
10-0-40083,1
1-990-540,1
44-0-813042,1
1-635-7440,320082
1-660-7400,24333
1-615-7210,13574
1-0-40421,6441
1-0-40419,5961
1-995-711,338
30-49-850,209
10-38-820,1863
1-966-516,230
1-600-7210,130
25-94-101,18
1-0-814894,36
10-40-101,11
1-630-7210,50
71-76-101,1
1-0-40409,2
1-10-101,7
1-0-902941,2
1-993-1085,2
1-995-101,1
1-930-1471,4
