Job Code,Paytype,Job Title
1-600-7200,NOT FOUND,Meat/Produce TL 1-600-7200
1-600-7220,NOT FOUND,Deli/Bakery TL 1-600-7220
1-610-7210,NOT FOUND,Seasonal TL 1-610-7210
1-615-7200,NOT FOUND,Food & Consumables TL 1-615-7200
1-615-7210,NOT FOUND,Stocking 2 TL 1-615-7210
1-620-7200,NOT FOUND,Home TL 1-620-7200
1-625-7200,NOT FOUND,Apparel TL 1-625-7200
1-630-7200,NOT FOUND,Digital TL 1-630-7200
1-635-7240,NOT FOUND,Stocking ON TL 1-635-7240
1-640-7200,NOT FOUND,Hardlines TL 1-640-7200
1-640-7210,NOT FOUND,Entertainment TL 1-640-7210
1-695-7500,NOT FOUND,AP Team Lead 1-695-7500
1-695-7530,NOT FOUND,Stocking 1 TL 1-695-7530
1-910-7250,NOT FOUND,People Lead 1-910-7250
1-990-7210,NOT FOUND,Front End TL 1-990-7210
1-993-1001,NOT FOUND,Unknown
1-993-1026,NOT FOUND,Unknown
1-993-1062,NOT FOUND,ASM Trainee 1-993-1062
1-993-1071,NOT FOUND,Unknown
1-993-1072,NOT FOUND,Unknown
1-993-1074,NOT FOUND,Unknown
1-993-1075,NOT FOUND,Fashion Coach 1-993-1075
1-993-1076,H,Food and Consumables Coach 1-993-1076
1-993-1077,NOT FOUND,Stocking Coach 1 1-993-1077
1-993-1078,NOT FOUND,Stocking Coach ON 1-993-1078
1-993-1079,NOT FOUND,Unknown
1-993-1085,NOT FOUND,Intern 1-993-1085
1-993-1097,NOT FOUND,Stocking Coach 2 1-993-1097
1-993-1099,NOT FOUND,Unknown
1-993-3001,NOT FOUND,Unknown
1-996-758,NOT FOUND,APC Trainee 1-996-758
59-65-2104,NOT FOUND,Unknown
6-10-101,NOT FOUND,Auto Care Ctr DM 6-10-101
6-10-811,NOT FOUND,Unknown
6-10-812,NOT FOUND,Unknown
6-37-814,NOT FOUND,ACC Team Lead 6-37-814
71-76-121,NOT FOUND,Unknown
71-76-122,NOT FOUND,Unknown
71-76-123,NOT FOUND,Unknown
71-76-622,NOT FOUND,Unknown
71-76-623,NOT FOUND,Unknown
